Year,month,timestamp,entityid,input_url,wayback_url,failed,fail_reason,output_path
2012,4,2012-04-14 14:00:10,1005230216,www.northwesthardwoods.com,http://web.archive.org/web/20120414140010/http://www.northwesthardwoods.com:80/,0,,Jun_5_out_2/1005230216/2012/4/index.html
2012,2,2012-02-19 04:31:53,717186,www.unitedroutes.com,http://web.archive.org/web/20120219043153/http://www.unitedroutes.com:80/,0,,Jun_5_out_2/717186/2012/2/index.html
2012,1,2012-01-11 21:34:13,623464,www.cakestyle.com,http://web.archive.org/web/20120111213413/http://www.cakestyle.com:80/,0,,Jun_5_out_2/623464/2012/1/index.html
2012,7,2012-07-17 05:19:00,623464,www.cakestyle.com,http://web.archive.org/web/20120717051900/http://www.cakestyle.com/,0,,Jun_5_out_2/623464/2012/7/index.html
2012,11,2012-11-29 10:58:25,1048397870,www.godoctorg.com,http://web.archive.org/web/20121129105825/http://www.godoctorg.com:80/,0,,Jun_5_out_2/1048397870/2012/11/index.html
2013,1,2013-01-23 14:56:35,617490,www.300.mg,http://web.archive.org/web/20130123145635/https://300.mg/,0,,Jun_5_out_2/617490/2013/1/index.html
2013,8,2013-08-28 16:35:35,617490,www.300.mg,http://web.archive.org/web/20130828163535/https://300.mg/,0,,Jun_5_out_2/617490/2013/8/index.html
2013,10,2013-10-02 13:24:31,617490,www.300.mg,http://web.archive.org/web/20131002132431/https://300.mg/,0,,Jun_5_out_2/617490/2013/10/index.html
2013,1,2013-01-21 04:47:55,102158,www.unitedvillages.com,http://web.archive.org/web/20130121044755/http://www.unitedvillages.com/,0,,Jun_5_out_2/102158/2013/1/index.html
2013,7,2013-07-18 20:36:24,102158,www.unitedvillages.com,http://web.archive.org/web/20130718203624/http://unitedvillages.com/,0,,Jun_5_out_2/102158/2013/7/index.html
2013,6,2013-06-24 18:47:21,1005230216,www.northwesthardwoods.com,http://web.archive.org/web/20130624184721/http://northwesthardwoods.com/,0,,Jun_5_out_2/1005230216/2013/6/index.html
2013,12,2013-12-28 00:58:14,1005230216,www.northwesthardwoods.com,http://web.archive.org/web/20131228005814/http://northwesthardwoods.com/,0,,Jun_5_out_2/1005230216/2013/12/index.html
2013,1,2013-01-15 01:15:53,623464,www.cakestyle.com,http://web.archive.org/web/20130115011553/http://www.cakestyle.com/,1,CE,
2013,8,2013-08-04 02:30:58,623464,www.cakestyle.com,http://web.archive.org/web/20130804023058/http://www.cakestyle.com:80/,0,,Jun_5_out_2/623464/2013/8/index.html
2013,7,2013-07-19 19:48:23,71199,www.trackx.com,http://web.archive.org/web/20130719194823/http://trackx.com/,0,,Jun_5_out_2/71199/2013/7/index.html
2013,5,2013-05-10 01:58:12,633093,www.dronedeploy.com,http://web.archive.org/web/20130510015812/http://www.dronedeploy.com:80/,0,,Jun_5_out_2/633093/2013/5/index.html
2013,10,2013-10-21 18:49:14,633093,www.dronedeploy.com,http://web.archive.org/web/20131021184914/http://www.dronedeploy.com/,0,,Jun_5_out_2/633093/2013/10/index.html
2013,5,2013-05-10 20:16:45,1048397870,www.godoctorg.com,http://web.archive.org/web/20130510201645/http://godoctorg.com,0,,Jun_5_out_2/1048397870/2013/5/index.html
2005,1,2005-01-28 13:35:42,102158,www.unitedvillages.com,http://web.archive.org/web/20050128133542/http://unitedvillages.com:80/,0,,Jun_5_out_2/102158/2005/1/index.html
2005,10,2005-10-30 04:10:33,102158,www.unitedvillages.com,http://web.archive.org/web/20051030041033/http://www.unitedvillages.com:80/,0,,Jun_5_out_2/102158/2005/10/index.html
2005,1,2005-01-24 02:13:47,1011308636,www.bidadoo.com,http://web.archive.org/web/20050124021347/http://www.bidadoo.com:80/,0,,Jun_5_out_2/1011308636/2005/1/index.html
2005,8,2005-08-05 23:36:50,1011308636,www.bidadoo.com,http://web.archive.org/web/20050805233650/http://www.bidadoo.com:80/,0,,Jun_5_out_2/1011308636/2005/8/index.html
2005,4,2005-04-30 13:17:48,71199,www.trackx.com,http://web.archive.org/web/20050430131748/http://trackx.com:80/,0,,Jun_5_out_2/71199/2005/4/index.html
2005,8,2005-08-21 22:55:14,71199,www.trackx.com,http://web.archive.org/web/20050821225514/http://trackx.com:80/,0,,Jun_5_out_2/71199/2005/8/index.html
