,entityid,domain,time_of_run,failed,reason_for_failure,file_path
112,63269,www.clearapp.com,2023-06-09 01:44:32,1,ConnectionError,
113,63271,www.clearcommerce.com,2023-06-09 01:44:32,1,ConnectionError,
114,63272,www.clearcount.com,2023-06-09 01:44:32,1,ConnectionError,
115,63273,www.clearcube.com,2023-06-09 01:44:32,1,ConnectionError,
116,63274,www.clearedgepower.com,2023-06-09 01:44:32,1,ConnectionError,
117,63275,www.clearforest.com,2023-06-09 01:44:32,1,ConnectionError,
118,63276,www.clearfuels.com,2023-06-09 01:44:32,1,ConnectionError,
119,63277,www.cleargauge.com,2023-06-09 01:44:32,1,ConnectionError,
120,63279,www.clearkeysolutions.com,2023-06-09 01:44:32,1,ConnectionError,
121,63281,www.clearline.com,2023-06-09 01:44:32,1,ConnectionError,
122,63283,www.clearmesh.com,2023-06-09 01:44:32,1,ConnectionError,
123,63285,www.clearorbit.com,2023-06-09 01:44:32,1,ConnectionError,
124,63286,www.rainstor.com,2023-06-09 01:44:32,1,ConnectionError,
125,63288,www.clearpointmetrics.com,2023-06-09 01:44:32,1,ConnectionError,
126,63290,www.clearsightsystems.com,2023-06-09 01:44:32,1,ConnectionError,
127,63291,www.clearsource.com,2023-06-09 01:44:32,1,ConnectionError,
128,63292,www.clearsource.com,2023-06-09 01:44:32,1,ConnectionError,
129,63294,www.addthis.com,2023-06-09 01:44:32,1,ConnectionError,
130,63297,www.cleartop.com,2023-06-09 01:44:32,1,ConnectionError,
131,63298,www.cleartrack.com,2023-06-09 01:44:32,1,ConnectionError,
132,63303,www.clearwaternetworks.com,2023-06-09 01:44:32,1,ConnectionError,
133,63305,www.clearway.com,2023-06-09 01:44:32,1,ConnectionError,
134,63306,www.clearwellsystems.com,2023-06-09 01:44:32,1,ConnectionError,
135,63307,www.clearwire.com,2023-06-09 01:44:32,1,ConnectionError,
136,63308,www.clearwire.com,2023-06-09 01:44:32,1,ConnectionError,
137,63320,www.clerity.com,2023-06-09 01:44:32,1,ConnectionError,
138,63327,www.cleverset.com,2023-06-09 01:44:32,1,ConnectionError,
139,63333,www.clickcommerce.com,2023-06-09 01:44:32,1,ConnectionError,
140,63334,www.adometry.com,2023-06-09 01:44:32,1,ConnectionError,
141,63335,www.clicktactics.com,2023-06-09 01:44:32,1,ConnectionError,
142,63337,www.click2asia.com,2023-06-09 01:44:32,1,ConnectionError,
143,63338,www.click4care.com,2023-06-09 01:44:32,1,ConnectionError,
144,63339,www.clickability.com,2023-06-09 01:44:32,1,ConnectionError,
145,63340,www.clickable.com,2023-06-09 01:44:32,1,ConnectionError,
146,63345,www.clickfox.com,2023-06-09 01:44:32,1,ConnectionError,
147,63347,www.clicklogistics.com,2023-06-09 01:44:32,1,ConnectionError,
148,63349,www.clickmarks.com,2023-06-09 01:44:32,1,ConnectionError,
149,63352,www.clickradio.com,2023-06-09 01:44:32,1,ConnectionError,
150,63353,www.clickservices.com,2023-06-09 01:44:32,1,ConnectionError,
151,63354,www.clickshare.com,2023-06-09 01:44:32,1,ConnectionError,
152,63355,www.clickshift.com,2023-06-09 01:44:32,1,ConnectionError,
153,63356,www.clickstarinc.com,2023-06-09 01:44:32,1,ConnectionError,
154,63358,www.clickthings.com,2023-06-09 01:44:32,1,ConnectionError,
155,63360,www.clientsoft.com,2023-06-09 01:44:32,1,ConnectionError,
156,63370,www.clincare.com,2023-06-09 01:44:32,1,ConnectionError,
157,63374,www.microsensor.com,2023-06-09 01:44:32,1,ConnectionError,
158,63375,www.cp.com,2023-06-09 01:44:32,1,ConnectionError,
159,63383,www.clinipace.com,2023-06-09 01:44:32,1,ConnectionError,
160,63387,www.clinsoft.net,2023-06-09 01:44:32,1,ConnectionError,
161,63390,www.clip2.com,2023-06-09 01:44:32,1,ConnectionError,
162,63397,www.clkda.com,2023-06-09 01:44:32,1,ConnectionError,
163,63398,www.clkenergy.com,2023-06-09 01:44:32,1,ConnectionError,
164,63400,www.cloakware.com,2023-06-09 01:44:32,1,ConnectionError,
165,63405,www.clontech.com,2023-06-09 01:44:32,1,ConnectionError,
166,63412,www.closecall.com,2023-06-09 01:44:32,1,ConnectionError,
167,63414,www.closedloop.com,2023-06-09 01:44:32,1,ConnectionError,
168,63415,www.closingguard.com,2023-06-09 01:44:32,1,ConnectionError,
169,63416,www.cloud9int.com,2023-06-09 01:44:32,1,ConnectionError,
170,63419,www.cloudmark.com,2023-06-09 01:44:32,1,ConnectionError,
171,63420,www.cloudscape.com,2023-06-09 01:44:32,1,ConnectionError,
172,63421,www.cloudshield.com,2023-06-09 01:44:32,1,ConnectionError,
173,63422,www.cloudsource.com,2023-06-09 01:44:32,1,ConnectionError,
174,63426,www.clozex.com,2023-06-09 01:44:32,1,ConnectionError,
175,63433,www.clubphoto.com,2023-06-09 01:44:32,1,ConnectionError,
176,63435,www.clubcom.com,2023-06-09 01:44:32,1,ConnectionError,
177,63437,www.clubplanet.com,2023-06-09 01:44:32,1,ConnectionError,
178,63438,www.clupedia.com,2023-06-09 01:44:32,1,ConnectionError,
179,63442,www.clustra.com,2023-06-09 01:44:32,1,ConnectionError,
180,63452,www.biddingforgood.com,2023-06-09 01:44:32,1,ConnectionError,
181,63456,www.cmcwireless.com,2023-06-09 01:44:32,1,ConnectionError,
182,63457,www.cmeinfo.com,2023-06-09 01:44:32,1,ConnectionError,
183,63461,www.cafemedia.com,2023-06-09 01:44:32,1,ConnectionError,
184,63474,www.cmstech.com,2023-06-09 01:44:32,1,ConnectionError,
185,63478,www.cmware.com,2023-06-09 01:44:32,1,ConnectionError,
186,63487,www.cnet.com,2023-06-09 01:44:32,1,ConnectionError,
187,63496,www.cnsresponse.com,2023-06-09 01:44:33,1,ConnectionError,
188,63498,www.cnxmedia.com,2023-06-09 01:44:33,1,ConnectionError,
189,63499,www.cospaceservices.com,2023-06-09 01:44:33,1,ConnectionError,
190,63501,www.co-design.com,2023-06-09 01:44:33,1,ConnectionError,
191,63504,www.co-nect.net,2023-06-09 01:44:33,1,ConnectionError,
192,63514,www.coactive.com,2023-06-09 01:44:33,1,ConnectionError,
193,63516,www.coadna.com,2023-06-09 01:44:33,1,ConnectionError,
194,63518,www.coalsurg.com,2023-06-09 01:44:33,1,ConnectionError,
195,63519,www.coalsere.com,2023-06-09 01:44:33,1,ConnectionError,
196,63520,www.coaltek.com,2023-06-09 01:44:33,1,ConnectionError,
197,63521,www.coaptsystems.com,2023-06-09 01:44:33,1,ConnectionError,
198,63532,www.coastek.com,2023-06-09 01:44:33,1,ConnectionError,
199,63534,www.coatesanalytics.com,2023-06-09 01:44:33,1,ConnectionError,
200,63536,www.coatue.biz,2023-06-09 01:44:33,1,ConnectionError,
201,63537,www.coaxia.com,2023-06-09 01:44:33,1,ConnectionError,
202,63542,www.cobaltgroup.com,2023-06-09 01:44:33,1,ConnectionError,
203,63543,www.cobalt.com,2023-06-09 01:44:33,1,ConnectionError,
204,63544,www.cobalttech.com,2023-06-09 01:44:33,1,ConnectionError,
205,63554,www.cobotics.com,2023-06-09 01:44:33,1,ConnectionError,
206,63565,www.verdezyne.com,2023-06-09 01:44:33,1,ConnectionError,
207,63567,www.codatherapeutics.com,2023-06-09 01:44:33,1,ConnectionError,
208,63571,www.codegreennetworks.com,2023-06-09 01:44:33,1,ConnectionError,
209,63575,www.codefast.com,2023-06-09 01:44:33,1,ConnectionError,
210,63582,www.coderyte.com,2023-06-09 01:44:33,1,ConnectionError,
211,63588,www.codexa.com,2023-06-09 01:44:33,1,ConnectionError,
212,63589,www.codexis.com,2023-06-09 01:44:33,1,ConnectionError,
213,63594,www.codman.com,2023-06-09 01:44:33,1,ConnectionError,
214,63596,www.codondevices.com,2023-06-09 01:44:33,1,ConnectionError,
215,63597,www.codonix.com,2023-06-09 01:44:33,1,ConnectionError,
216,63598,www.coelacorp.com,2023-06-09 01:44:33,1,ConnectionError,
217,63617,www.cofiniti.com,2023-06-09 01:44:33,1,ConnectionError,
218,63620,www.cofix.com,2023-06-09 01:44:33,1,ConnectionError,
219,63626,www.cogencysoft.com,2023-06-09 01:44:33,1,ConnectionError,
220,63628,www.cogenesys.com,2023-06-09 01:44:33,1,ConnectionError,
221,63629,www.cogenia.com,2023-06-09 01:44:33,1,ConnectionError,
222,63631,www.cogentco.com,2023-06-09 01:44:33,1,ConnectionError,
223,63633,www.cogenthealthcare.com,2023-06-09 01:44:33,1,ConnectionError,
224,63635,www.cogentneuroscience.com,2023-06-09 01:44:33,1,ConnectionError,
225,63637,www.cogentric.com,2023-06-09 01:44:33,1,ConnectionError,
226,63638,www.cogentus.net,2023-06-09 01:44:33,1,ConnectionError,
227,63639,www.coghead.com,2023-06-09 01:44:33,1,ConnectionError,
228,63641,www.cogit.com,2023-06-09 01:44:33,1,ConnectionError,
229,63642,www.cogitoinc.com,2023-06-09 01:44:33,1,ConnectionError,
230,63644,www.cogitomedia.com,2023-06-09 01:44:33,1,ConnectionError,
231,63645,www.cognet.com,2023-06-09 01:44:33,1,ConnectionError,
232,63646,www.cognetmicro.com,2023-06-09 01:44:33,1,ConnectionError,
233,63648,www.cognetix.com,2023-06-09 01:44:33,1,ConnectionError,
234,63650,www.cognicity.com,2023-06-09 01:44:33,1,ConnectionError,
235,63652,www.cognigine.com,2023-06-09 01:44:33,1,ConnectionError,
236,63654,www.cognio.com,2023-06-09 01:44:33,1,ConnectionError,
237,63655,www.cogniscape.com,2023-06-09 01:44:34,1,ConnectionError,
238,63657,www.cognistar.com,2023-06-09 01:44:34,1,ConnectionError,
239,63658,www.sharkware.com,2023-06-09 01:44:34,1,ConnectionError,
240,63662,www.cognition.com,2023-06-09 01:44:34,1,ConnectionError,
241,63664,www.cognitivearts.com,2023-06-09 01:44:34,1,ConnectionError,
242,63665,www.cogcon.com,2023-06-09 01:44:34,1,ConnectionError,
243,63684,www.cohera.com,2023-06-09 01:44:34,1,ConnectionError,
244,63686,www.coherence.com,2023-06-09 01:44:34,1,ConnectionError,
245,63689,www.coherex.com,2023-06-09 01:44:34,1,ConnectionError,
246,63690,www.coherity.com,2023-06-09 01:44:34,1,ConnectionError,
247,63691,www.cohesia.com,2023-06-09 01:44:34,1,ConnectionError,
248,63692,www.cohesiveft.com,2023-06-09 01:44:34,1,ConnectionError,
249,63694,www.cohesivetech.com,2023-06-09 01:44:34,1,ConnectionError,
250,63703,www.coinstar.com,2023-06-09 01:44:34,1,ConnectionError,
251,63705,www.cokinetic.com,2023-06-09 01:44:34,1,ConnectionError,
252,63706,www.colabranet.com,2023-06-09 01:44:34,1,ConnectionError,
253,63712,www.coldheat.com,2023-06-09 01:44:34,1,ConnectionError,
254,63713,www.coldjet.com,2023-06-09 01:44:34,1,ConnectionError,
255,63714,www.coldspark.com,2023-06-09 01:44:34,1,ConnectionError,
256,63716,www.coldwatt.com,2023-06-09 01:44:34,1,ConnectionError,
257,63733,www.coleypharma.com,2023-06-09 01:44:34,1,ConnectionError,
258,63741,www.collab.net,2023-06-09 01:44:34,1,ConnectionError,
259,63745,www.collabo.com,2023-06-09 01:44:34,1,ConnectionError,
260,63747,www.csinitiative.com,2023-06-09 01:44:34,1,ConnectionError,
261,63748,www.costructures.com,2023-06-09 01:44:34,1,ConnectionError,
262,63750,www.collaborex.com,2023-06-09 01:44:34,1,ConnectionError,
263,63752,www.collabria.com,2023-06-09 01:44:34,1,ConnectionError,
264,63753,www.collabridgetech.com,2023-06-09 01:44:34,1,ConnectionError,
265,63754,www.collabrio.com,2023-06-09 01:44:34,1,ConnectionError,
266,63755,www.collabrys.com,2023-06-09 01:44:34,1,ConnectionError,
267,63758,www.collagenesis.com,2023-06-09 01:44:34,1,ConnectionError,
268,63760,www.collages.net,2023-06-09 01:44:34,1,ConnectionError,
269,63761,www.collation.com,2023-06-09 01:44:34,1,ConnectionError,
270,63763,www.collaxa.com,2023-06-09 01:44:34,1,ConnectionError,
271,63766,www.collectiveintellect.com,2023-06-09 01:44:34,1,ConnectionError,
272,63767,www.vistohub.com,2023-06-09 01:44:34,1,ConnectionError,
273,63768,www.collegepublisher.com,2023-06-09 01:44:34,1,ConnectionError,
274,63769,www.cstv.com,2023-06-09 01:44:34,1,ConnectionError,
275,63771,www.collegeclub.com,2023-06-09 01:44:34,1,ConnectionError,
276,63772,www.corp.collegenet.com,2023-06-09 01:44:34,1,ConnectionError,
277,63774,www.collegiate.com,2023-06-09 01:44:34,1,ConnectionError,
278,63777,www.collegiumpharma.com,2023-06-09 01:44:34,1,ConnectionError,
279,63785,www.collinear.com,2023-06-09 01:44:34,1,ConnectionError,
280,63791,www.colloquis.com,2023-06-09 01:44:34,1,ConnectionError,
281,63795,www.colo.com,2023-06-09 01:44:34,1,ConnectionError,
282,63800,www.colonialmills.com,2023-06-09 01:44:34,1,ConnectionError,
283,63803,www.colorkinetics.com,2023-06-09 01:44:34,1,ConnectionError,
284,63805,www.colorsavvy.com,2023-06-09 01:44:34,1,ConnectionError,
285,63811,www.cghtomato.com,2023-06-09 01:44:34,1,ConnectionError,
286,63815,www.coloradopen.com,2023-06-09 01:44:34,1,ConnectionError,
